timestamp,sensor_id,sensor_type,sensor_label,sensor_units,sample_name,sensor_value
2025-08-08T20:05:50.067462+00:00,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,24.125
2025-08-08T20:05:50.067506+00:00,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,23.5
2025-08-08T20:05:52.786797+00:00,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,24.125
2025-08-08T20:05:52.786851+00:00,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,23.5
2025-08-08T20:05:55.506665+00:00,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,24.125
2025-08-08T20:05:55.506709+00:00,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,23.5
2025-08-08T20:05:58.266756+00:00,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,24.125
2025-08-08T20:05:58.266805+00:00,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,23.5
2025-08-08T20:06:00.946782+00:00,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,24.125
2025-08-08T20:06:00.946830+00:00,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,23.5
2025-08-08T20:06:03.666743+00:00,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,24.187
2025-08-08T20:06:03.666784+00:00,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,23.5
2025-08-08T20:06:06.386820+00:00,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,24.125
2025-08-08T20:06:06.386867+00:00,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,23.5
2025-08-08T20:06:09.162714+00:00,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,24.187
2025-08-08T20:06:09.162759+00:00,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,23.5
2025-08-08T20:06:11.826745+00:00,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,24.125
2025-08-08T20:06:11.826793+00:00,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,23.5
