timestamp,sensor_id,sensor_type,sensor_label,sensor_units,sample_name,sensor_value
1754678804.760744,28-000008ae0bbd,unknown,,,,20.937
1754678804.8886638,28-000008ae5436,unknown,,,,21.0
1754678806.6807244,28-000008ae0bbd,unknown,,,,20.937
1754678806.808662,28-000008ae5436,unknown,,,,21.0
1754678808.6007335,28-000008ae0bbd,unknown,,,,20.937
1754678808.7292428,28-000008ae5436,unknown,,,,21.0
1754678810.5211701,28-000008ae0bbd,unknown,,,,20.937
1754678810.6529634,28-000008ae5436,unknown,,,,21.0
1754678812.4411674,28-000008ae0bbd,unknown,,,,20.937
1754678812.572962,28-000008ae5436,unknown,,,,21.0
