timestamp,sensor_id,sensor_type,sensor_label,sensor_units,sample_name,sensor_value
2025-08-09T00:10:45.554705+00:00,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,26.437
2025-08-09T00:10:45.554761+00:00,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,25.5
2025-08-09T00:10:48.274745+00:00,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,26.437
2025-08-09T00:10:48.274800+00:00,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,25.5
2025-08-09T00:10:50.995245+00:00,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,26.437
2025-08-09T00:10:50.995292+00:00,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,25.0
2025-08-09T00:10:53.714658+00:00,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,26.437
2025-08-09T00:10:53.714709+00:00,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,25.5
2025-08-09T00:10:56.434670+00:00,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,26.437
2025-08-09T00:10:56.434722+00:00,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,25.5
2025-08-09T00:10:59.154699+00:00,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,26.437
2025-08-09T00:10:59.154749+00:00,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,25.5
2025-08-09T00:11:00.155510+00:00,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,26.437
2025-08-09T00:11:00.155546+00:00,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,25.5
2025-08-09T00:11:01.903581+00:00,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,26.437
2025-08-09T00:11:01.903617+00:00,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,25.5
2025-08-09T00:11:04.626712+00:00,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,26.437
2025-08-09T00:11:04.626759+00:00,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,25.5
2025-08-09T00:11:07.346715+00:00,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,26.437
2025-08-09T00:11:07.346765+00:00,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,25.5
2025-08-09T00:11:10.066744+00:00,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,26.437
2025-08-09T00:11:10.066796+00:00,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,25.5
2025-08-09T00:11:12.786749+00:00,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,26.437
2025-08-09T00:11:12.786800+00:00,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,26.0
2025-08-09T00:11:15.506787+00:00,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,26.437
2025-08-09T00:11:15.506839+00:00,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,26.5
2025-08-09T00:11:18.226726+00:00,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,26.437
2025-08-09T00:11:18.226775+00:00,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,27.0
2025-08-09T00:11:20.946695+00:00,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,26.437
2025-08-09T00:11:20.946744+00:00,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,28.0
2025-08-09T00:11:23.667101+00:00,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,26.437
2025-08-09T00:11:23.667185+00:00,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,28.5
2025-08-09T00:11:26.386709+00:00,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,26.437
2025-08-09T00:11:26.386759+00:00,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,29.0
2025-08-09T00:11:29.106951+00:00,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,26.437
2025-08-09T00:11:29.107012+00:00,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,29.5
2025-08-09T00:11:31.826761+00:00,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,26.437
2025-08-09T00:11:31.826814+00:00,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,30.0
2025-08-09T00:11:34.546726+00:00,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,26.437
2025-08-09T00:11:34.546778+00:00,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,30.5
2025-08-09T00:11:37.266702+00:00,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,26.437
2025-08-09T00:11:37.266753+00:00,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,30.5
2025-08-09T00:11:39.986741+00:00,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,26.437
2025-08-09T00:11:39.986793+00:00,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,31.0
2025-08-09T00:11:42.706738+00:00,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,26.375
2025-08-09T00:11:42.706787+00:00,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,31.0
2025-08-09T00:11:45.426711+00:00,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,26.437
2025-08-09T00:11:45.426762+00:00,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,31.0
2025-08-09T00:11:48.146707+00:00,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,26.437
2025-08-09T00:11:48.146757+00:00,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,31.5
2025-08-09T00:11:50.866792+00:00,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,26.375
2025-08-09T00:11:50.866841+00:00,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,31.5
2025-08-09T00:11:53.586716+00:00,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,26.375
2025-08-09T00:11:53.586767+00:00,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,31.5
2025-08-09T00:11:56.312144+00:00,28-000008ae0bbd,temperature,Temp #1,°C,HDPE-testtest,26.375
2025-08-09T00:11:56.312226+00:00,28-000008ae5436,temperature,Temp #2,°C,PHA-testtest,31.5
