timestamp,sensor_id,sensor_type,sensor_label,sensor_units,sample_name,sensor_value
1754678302.6861095,28-00000abcde01,temperature,Temp #1,°C,HDPE,23.7
1754678302.6861095,usb-dial-001,dial,Dial #1,mm,HDPE,2.14
1754678303.686368,28-00000abcde01,temperature,Temp #1,°C,HDPE,23.7
1754678303.686368,usb-dial-001,dial,Dial #1,mm,HDPE,2.14
1754678304.6865082,28-00000abcde01,temperature,Temp #1,°C,HDPE,23.7
1754678304.6865082,usb-dial-001,dial,Dial #1,mm,HDPE,2.14
1754678305.6866353,28-00000abcde01,temperature,Temp #1,°C,HDPE,23.7
1754678305.6866353,usb-dial-001,dial,Dial #1,mm,HDPE,2.14
1754678306.6867378,28-00000abcde01,temperature,Temp #1,°C,HDPE,23.7
1754678306.6867378,usb-dial-001,dial,Dial #1,mm,HDPE,2.14
